ID;N_VICTIMAS;FECHA;AAAA;MM;DD;HORA;HH;LUGAR_DEL_HECHO;TIPO_DE_CALLE;Calle;Altura;Cruce;Direcci�n Normalizada;COMUNA;XY (CABA);pos x;pos y;PARTICIPANTES;VICTIMA;ACUSADO
2016-0015;1;14/02/2016;2016;2;14;5:14:00;5;AV SCALABRINI ORTIZ Y VERA;AVENIDA;SCALABRINI ORTIZ, RAUL AV.;;VERA;SCALABRINI ORTIZ, RAUL AV. y VERA;15;Point (102357.43746828 103343.52002839);-5.843.760.020;-34.59912758;PEATON-AUTO;PEATON;AUTO
2016-0016;1;14/02/2016;2016;2;14;22:00:00;22;AV REGIMIENTO DE PATRICIOS Y QUINQUELA MARTIN BENITO;AVENIDA;REGIMIENTO DE PATRICIOS AV.;;QUINQUELA MARTIN, BENITO;REGIMIENTO DE PATRICIOS AV. y QUINQUELA MARTIN, BENITO;4;Point (108661.59115206 98481.75445555);-5.836.882.665;-34.64291993;MOTO-AUTO;MOTO;AUTO
2016-0017;1;15/02/2016;2016;2;15;16:54:00;16;MARIANO ACOSTA Y ANA MARIA JANER;AVENIDA;ACOSTA, MARIANO;;JANER, ANA MARIA;ACOSTA, MARIANO y JANER, ANA MARIA;8;Point (101228.61094416 96623.72136186);-5.844.989.671;-34.65970435;PEATON-MOTO;PEATON;MOTO
2016-0019;1;17/02/2016;2016;2;17;9:30:00;9;LISANDRO DE LA TORRE Y SEVERO GARCIA GRANDE DE ZEQUEIRA ;CALLE;DE LA TORRE, LISANDRO;;GARCIA GRANDE DE ZEQUEIRA, SEVERO;DE LA TORRE, LISANDRO y GARCIA GRANDE DE ZEQUEIRA, SEVERO;9;Point (95727.37083199 97179.35560349);-5.850.990.884;-34.65468721;PEATON-PASAJEROS;PEATON;PASAJEROS
2016-0020;1;17/02/2016;2016;2;17;16:00:00;16;SUIPACHA 156;CALLE;SUIPACHA;156;;SUIPACHA 156;1;Point (107684.31807562 102519.17333314);-5.837.952.223;-34.60653282;PEATON-AUTO;PEATON;AUTO
2016-0021;1;17/02/2016;2016;2;17;23:35:00;23;AV DIRECTORIO Y CURAPALIGUE;AVENIDA;DIRECTORIO AV.;;CURAPALIGUE;DIRECTORIO AV. y CURAPALIGUE;7;Point (101074.94198885 99848.19369046);-5.845.157.703;-34.63063795;AUTO-AUTO;AUTO;AUTO
2016-0022;1;21/02/2016;2016;2;21;6:00:00;6;AV 9 DE JULIO Y ADOLFO ALSINA;AVENIDA;9 DE JULIO AV.;;ALSINA, ADOLFO;9 DE JULIO AV. y ALSINA, ADOLFO;1;Point (107507.39502374 102046.08333077);-5.838.144.696;-34.61079875;MOTO-AUTO;MOTO;AUTO
2016-0025;1;28/02/2016;2016;2;28;4:50:00;4;AV GRAL PAZ Y AV 27 DE FEBRERO;GRAL PAZ;PAZ, GRAL. AV.;;27 DE FEBRERO AV.;PAZ, GRAL. AV. y 27 DE FEBRERO AV.;8;Point (100077.95205948 91571.23307293);-5.846.244.952;-34.70524971;AUTO-AUTO;AUTO;AUTO
2016-0026;1;28/02/2016;2016;2;28;7:30:00;7;HOLMBERG Y VEDIA;CALLE;HOLMBERG;;VEDIA;HOLMBERG y VEDIA;12;Point (97350.75566590 109083.19420265);-5.849.216.191;-34.54738649;AUTO-OBJETO FIJO;AUTO;OBJETO FIJO
2016-0027;1;28/02/2016;2016;2;28;9:35:00;9;CURAPALIGUE Y AVELINO DIAZ;AVENIDA;CURAPALIGUE AV.;;DIAZ, AVELINO;CURAPALIGUE AV. y DIAZ, AVELINO;7;Point (101679.82794245 98973.02976850);-5.844.497.874;-34.63852623;AUTO-AUTO;AUTO;AUTO
2016-0028;1;2/03/2016;2016;3;2;10:00:00;10;VIAMONTE Y AV 9 DE JULIO;AVENIDA;VIAMONTE;;9 DE JULIO AV.;VIAMONTE y 9 DE JULIO AV.;1;Point (107457.87314266 103212.28518029);-5.838.199.706;-34.60028648;PEATON-CARGAS;PEATON;CARGAS
2016-0029;1;4/03/2016;2016;3;4;17:30:00;17;AV CABILDO Y DEHEZA;AVENIDA;CABILDO AV.;;DEHEZA;CABILDO AV. y DEHEZA;12;Point (99037.31284333 109733.12041651);-5.847.378.664;-34.54153077;PEATON-PASAJEROS;PEATON;PASAJEROS
2016-0031;1;8/03/2016;2016;3;8;12:30:00;12;AV GRAL PAZ Y AV CNEL ROCA;GRAL PAZ;PAZ, GRAL. AV.;;ROCA, CNEL. AV.;PAZ, GRAL. AV. y ROCA, CNEL. AV.;8;Point (99327.01838497 92326.91130631);-5.847.064.556;-34.69843756;MOTO-PASAJEROS;MOTO;PASAJEROS
2016-0034;1;12/03/2016;2016;3;12;12:30:00;12;AV AMANCIO ALCORTA Y BONAVENA;AVENIDA;ALCORTA, AMANCIO AV.;;BONAVENA, OSCAR NATALIO;ALCORTA, AMANCIO AV. y BONAVENA, OSCAR NATALIO;4;Point (105230.98315750 97613.97258373);-5.840.623.949;-34.65076549;PEATON-PASAJEROS;PEATON;PASAJEROS
2016-0035;1;13/03/2016;2016;3;13;6:00:00;6;AV CORRIENTES Y AV CALLAO;AVENIDA;CORRIENTES AV.;;CALLAO AV.;CORRIENTES AV. y CALLAO AV.;3;Point (106513.41423248 102752.75354401);-5.839.228.965;-34.60443527;MOTO-PASAJEROS;MOTO;PASAJEROS
2016-0036;1;14/03/2016;2016;3;14;0:15:00;0;HERRERA Y ARISTOBULO DEL VALLE;CALLE;HERRERA;;VALLE, ARISTOBULO DEL;HERRERA y VALLE, ARISTOBULO DEL;4;Point (107808.84957181 99174.17105826);-5.837.813.396;-34.63668504;MOTO-PASAJEROS;MOTO;PASAJEROS
